"respondent_id","segment","currency","product_id","too_cheap","bargain","expensive_acceptable","too_expensive","weight","puki","pi_bargain_pct","pi_expensive_pct"
"DE_Classic_00036","DE","EUR","Classic","24.8","33.4","43.5","56.8","0.602","3","9","7"
"DE_Classic_00037","DE","EUR","Classic","18.3","35.3","43.3","61.0","1.036","3","11","5"
"DE_Classic_00038","DE","EUR","Classic","28.7","42.4","55.1","74.7","1.01","1","9","5"
"DE_Classic_00039","DE","EUR","Classic","26.1","33.6","45.3","60.8","0.824","3","8","5"
"DE_Classic_00040","DE","EUR","Classic","23.6","37.7","48.2","63.4","1.071","2","8","6"
"DE_Classic_00041","DE","EUR","Classic","21.5","34.1","45.1","57.2","0.948","4","8","5"
"DE_Classic_00042","DE","EUR","Classic","27.2","35.4","48.8","68.7","0.907","2","9","5"
"DE_Classic_00043","DE","EUR","Classic","24.4","35.9","48.8","63.1","0.842","2","8","6"
"DE_Classic_00044","DE","EUR","Classic","18.2","33.5","44.6","56.5","0.985","2","10","6"
"DE_Classic_00045","DE","EUR","Classic","24.8","36.3","45.6","57.3","1.108","1","10","6"
"DE_Classic_00046","DE","EUR","Classic","28.6","38.8","51.0","69.7","0.914","2","9","7"
"DE_Classic_00047","DE","EUR","Classic","23.2","34.8","48.7","64.8","0.81","3","11","5"
"DE_Classic_00048","DE","EUR","Classic","28.6","44.8","59.0","71.1","","1","8","7"
"DE_Classic_00049","DE","EUR","Classic","21.8","33.4","46.1","68.5","1.035","3","9","7"
"DE_Classic_00050","DE","EUR","Classic","26.0","37.9","48.5","66.7","0.764","1","8","5"
"DE_Classic_00051","DE","EUR","Classic","27.0","39.3","54.5","68.3","1.24","4","7","6"
"DE_Classic_00052","DE","EUR","Classic","30.2","36.5","46.6","65.4","1.048","5","8","6"
"DE_Classic_00053","DE","EUR","Classic","20.5","32.8","41.7","67.3","1.123","3","8","6"
"DE_Classic_00054","DE","EUR","Classic","24.5","34.6","46.5","66.3","0.872","2","7","6"
"DE_Classic_00055","DE","EUR","Classic","19.6","37.6","46.9","64.9","0.789","3","8","6"
"DE_Classic_00056","DE","EUR","Classic","30.4","39.6","49.9","60.5","0.895","2","8","7"
"DE_Classic_00057","DE","EUR","Classic","31.7","39.0","49.1","66.3","1.002","3","7","7"
"DE_Classic_00058","DE","EUR","Classic","24.9","34.7","48.7","61.9","0.791","2","9","4"
"DE_Classic_00059","DE","EUR","Classic","22.2","31.9","37.4","54.8","0.895","1","9","6"
"DE_Classic_00060","DE","EUR","Classic","25.5","39.1","47.3","67.8","0.701","2","8","5"
"DE_Classic_00061","DE","EUR","Classic","27.7","38.5","53.2","72.3","1.208","3","8","6"
"DE_Classic_00062","DE","EUR","Classic","19.8","33.8","43.0","65.6","0.843","1","9","7"
"DE_Classic_00063","DE","EUR","Classic","20.9","33.8","44.0","54.2","0.907","4","8","5"
"DE_Classic_00064","DE","EUR","Classic","23.6","39.3","48.9","64.8","0.624","3","7","6"
"DE_Classic_00065","DE","EUR","Classic","25.0","36.8","46.4","61.4","0.898","3","8","5"
"DE_Classic_00066","DE","EUR","Classic","26.6","35.6","46.7","60.6","1.136","2","10","7"
"DE_Classic_00067","DE","EUR","Classic","27.4","36.3","48.0","64.1","1.105","1","9","6"
"DE_Classic_00068","DE","EUR","Classic","23.6","33.6","39.6","51.7","1.288","2","9","5"
"DE_Classic_00069","DE","EUR","Classic","22.6","35.5","44.8","59.0","1.083","1","8","6"
"DE_Classic_00070","DE","EUR","Classic","24.7","23.7","47.4","55.7","0.977","3","9","6"
"DE_Classic_00071","DE","EUR","Classic","25.1","37.2","46.7","57.2","1.015","1","8","6"
"DE_Classic_00072","DE","EUR","Classic","27.3","39.0","53.4","64.7","1.045","2","9","5"
"DE_Classic_00073","DE","EUR","Classic","26.1","38.1","45.6","63.1","0.966","2","8","5"
"DE_Classic_00074","DE","EUR","Classic","","29.5","41.1","57.0","1.079","2","8","5"
"DE_Classic_00075","DE","EUR","Classic","21.6","31.5","44.8","60.6","1.222","4","8","7"
"DE_Classic_00076","DE","EUR","Classic","20.1","31.4","36.8","52.5","1.028","1","9","6"
"DE_Classic_00077","DE","EUR","Classic","19.5","31.8","46.9","66.9","1.089","1","9","5"
"DE_Classic_00078","DE","EUR","Classic","19.1","33.8","41.6","58.9","0.856","2","8","4"
"DE_Classic_00079","DE","EUR","Classic","18.9","29.3","42.2","58.0","1.043","2","8","6"
"DE_Classic_00080","DE","EUR","Classic","23.0","34.1","49.1","63.3","0.854","4","8","5"
"DE_Classic_00081","DE","EUR","Classic","28.1","37.4","47.9","60.0","0.877","2","9","7"
"DE_Classic_00082","DE","EUR","Classic","23.1","34.1","44.1","61.5","1.198","2","7","5"
"DE_Classic_00083","DE","EUR","Classic","29.5","41.1","57.8","74.9","0.91","1","7","6"
"DE_Classic_00084","DE","EUR","Classic","24.8","38.2","48.6","61.5","0.996","1","9","6"
"DE_Classic_00085","DE","EUR","Classic","23.6","36.2","47.0","64.7","0.888","2","9","6"
"DE_Classic_00086","DE","EUR","Classic","24.6","37.2","46.5","57.0","0.878","4","8","5"
"DE_Classic_00087","DE","EUR","Classic","25.2","34.4","44.8","61.5","0.989","3","8","6"
"DE_Classic_00088","DE","EUR","Classic","23.8","35.6","48.3","66.1","1.082","2","7","6"
"DE_Classic_00089","DE","EUR","Classic","20.3","31.8","45.6","63.8","0.99","3","8","6"
"DE_Classic_00090","DE","EUR","Classic","25.5","35.5","45.0","57.9","0.892","2","10","7"
"DE_Classic_00091","DE","EUR","Classic","26.6","37.7","44.5","63.9","0.994","4","6","6"
"DE_Classic_00092","DE","EUR","Classic","26.1","37.3","47.0","70.1","1.106","4","8","8"
"DE_Classic_00093","DE","EUR","Classic","24.6","37.1","46.9","60.6","1.011","3","8","7"
"DE_Classic_00094","DE","EUR","Classic","22.7","35.4","50.8","66.3","0.694","1","9","5"
"DE_Classic_00095","DE","EUR","Classic","25.9","39.3","51.3","64.9","0.951","1","9","5"
"DE_Classic_00096","DE","EUR","Classic","28.9","38.6","50.2","69.7","0.934","2","8","7"
"DE_Classic_00097","DE","EUR","Classic","21.1","31.8","41.3","","1.076","2","9","5"
"DE_Classic_00098","DE","EUR","Classic","25.9","35.7","44.1","55.1","0.872","1","7","6"
"DE_Classic_00099","DE","EUR","Classic","26.6","38.2","50.3","58.9","1.137","4","8","7"
"DE_Classic_00100","DE","EUR","Classic","24.7","37.1","46.3","64.7","0.988","3","10","6"
"DE_Classic_00101","DE","EUR","Classic","28.9","34.6","45.3","49.6","1.333","1","8","5"
"DE_Classic_00102","DE","EUR","Classic","22.4","35.2","48.8","74.9","1.276","3","8","7"
"DE_Classic_00103","DE","EUR","Classic","23.7","35.6","","57.3","1.003","3","8","6"
"DE_Classic_00104","DE","EUR","Classic","23.0","33.0","44.6","53.3","0.95","1","9","6"
"DE_Classic_00105","DE","EUR","Classic","28.5","39.1","44.6","62.6","1.038","1","8","6"
"DE_Classic_00106","DE","EUR","Classic","23.0","32.9","40.4","59.4","0.938","4","7","5"
"DE_Classic_00107","DE","EUR","Classic","21.8","40.9","53.4","67.8","0.971","2","9","6"
"DE_Classic_00108","DE","EUR","Classic","25.1","40.2","54.2","69.5","0.0","2","8","5"
"DE_Classic_00109","DE","EUR","Classic","26.2","36.6","48.8","68.6","0.956","3","9","5"
"DE_Classic_00110","DE","EUR","Classic","24.7","36.3","45.5","65.3","0.764","2","8","4"
"DE_Classic_00111","DE","EUR","Classic","15.9","31.1","41.8","53.0","0.791","1","8","7"
"DE_Classic_00112","DE","EUR","Classic","29.2","39.6","54.6","69.6","0.945","2","10","5"
"DE_Classic_00113","DE","EUR","Classic","21.2","34.6","44.6","59.3","1.222","3","9","5"
"DE_Classic_00114","DE","EUR","Classic","25.4","32.1","43.8","55.6","0.973","2","9","6"
"DE_Classic_00115","DE","EUR","Classic","21.8","35.0","44.8","61.3","0.573","3","7","5"
"DE_Classic_00116","DE","EUR","Classic","78.7","95.7","109.7","63.8","1.273","4","9","6"
"DE_Classic_00117","DE","EUR","Classic","22.8","37.6","49.7","67.4","1.058","5","10","6"
"DE_Classic_00118","DE","EUR","Classic","21.2","31.3","42.2","60.3","1.14","5","8","5"
"DE_Classic_00119","DE","EUR","Classic","25.4","37.0","50.2","59.9","0.999","2","7","5"
"DE_Classic_00120","DE","EUR","Classic","23.1","36.1","48.2","67.6","0.0","3","10","6"
"DE_Classic_00121","DE","EUR","Classic","23.3","34.0","45.9","61.9","0.981","2","8","6"
"DE_Classic_00122","DE","EUR","Classic","29.7","38.4","52.7","65.9","1.033","1","8","4"
"DE_Classic_00123","DE","EUR","Classic","20.3","32.5","43.7","53.5","1.002","3","9","5"
"DE_Classic_00124","DE","EUR","Classic","23.5","34.3","46.2","58.6","1.229","3","7","6"
"DE_Classic_00125","DE","EUR","Classic","19.7","32.3","40.6","59.1","0.998","3","8","5"
"DE_Classic_00126","DE","EUR","Classic","29.6","40.8","54.5","68.6","0.923","4","8","7"
"DE_Classic_00127","DE","EUR","Classic","29.4","39.8","50.5","64.4","1.115","3","9","5"
"DE_Classic_00128","DE","EUR","Classic","28.5","41.2","51.3","67.8","1.069","2","10","6"
"DE_Classic_00129","DE","EUR","Classic","23.0","32.9","41.2","58.7","0.855","4","9","6"
"DE_Classic_00130","DE","EUR","Classic","28.2","35.1","49.0","61.6","0.724","2","9","5"
"DE_Classic_00131","DE","EUR","Classic","21.7","32.4","47.4","67.4","0.87","2","9","6"
"DE_Classic_00132","DE","EUR","Classic","24.5","36.8","46.3","61.2","0.828","1","9","5"
"DE_Classic_00133","DE","EUR","Classic","9.5","29.5","37.2","48.5","0.758","1","9","4"
"DE_Classic_00134","DE","EUR","Classic","30.2","39.8","51.4","65.1","0.955","2","9","6"
"DE_Classic_00135","DE","EUR","Classic","28.2","36.1","48.4","55.5","1.077","3","7","6"
"DE_Classic_00136","DE","EUR","Classic","24.8","37.1","47.6","62.6","1.018","1","9","6"
"DE_Classic_00137","DE","EUR","Classic","18.1","31.2","45.1","60.3","1.058","4","8","5"
"DE_Classic_00138","DE","EUR","Classic","21.3","32.1","40.8","55.2","1.405","1","8","7"
"DE_Classic_00139","DE","EUR","Classic","19.5","33.0","44.7","52.2","0.645","2","9","7"
"DE_Classic_00140","DE","EUR","Classic","23.8","38.3","49.1","56.2","0.853","2","9","6"
"DE_Classic_00141","DE","EUR","Classic","19.2","33.8","32.8","53.2","1.188","1","8","7"
"DE_Classic_00142","DE","EUR","Classic","28.4","38.8","50.1","64.3","1.258","1","9","6"
"DE_Classic_00143","DE","EUR","Classic","21.3","37.1","48.8","61.1","1.008","1","9","6"
"DE_Classic_00144","DE","EUR","Classic","24.8","35.7","47.8","63.2","1.247","1","9","5"
"DE_Classic_00145","DE","EUR","Classic","19.9","31.7","44.4","59.0","1.046","2","9","5"
"DE_Classic_00146","DE","EUR","Classic","21.9","36.9","48.0","57.9","1.314","2","10","6"
"DE_Classic_00147","DE","EUR","Classic","30.0","39.5","49.3","69.4","1.064","2","8","7"
"DE_Classic_00148","DE","EUR","Classic","23.5","35.8","41.3","54.7","0.987","1","10","5"
"DE_Classic_00149","DE","EUR","Classic","24.5","35.5","45.3","66.4","0.786","1","8","6"
"DE_Classic_00150","DE","EUR","Classic","30.3","38.3","49.7","60.6","0.986","3","9","5"
"DE_Classic_00151","DE","EUR","Classic","33.7","39.9","50.6","67.8","0.955","2","8","5"
"DE_Classic_00152","DE","EUR","Classic","23.0","34.6","43.8","60.6","0.834","2","9","7"
"DE_Classic_00153","DE","EUR","Classic","26.1","37.8","44.8","52.4","1.074","2","8","5"
"DE_Classic_00154","DE","EUR","Classic","24.2","34.6","48.9","74.2","0.988","3","8",""
"DE_Classic_00155","DE","EUR","Classic","27.2","37.8","54.9","70.4","0.73","2","10","6"
"DE_Classic_00156","DE","EUR","Classic","27.5","36.9","44.8","55.1","1.012","2","8","7"
"DE_Classic_00157","DE","EUR","Classic","51.0","35.3","48.7","60.7","0.892","4","9","5"
"DE_Classic_00158","DE","EUR","Classic","27.7","37.6","50.4","65.5","1.133","4","10","4"
"DE_Classic_00159","DE","EUR","Classic","20.2","32.8","47.9","63.8","1.093","4","9","6"
"DE_Classic_00160","DE","EUR","Classic","25.9","38.3","49.2","","1.151","2","10","8"
"DE_Classic_00161","DE","EUR","Classic","24.1","35.7","46.1","58.0","0.74","2","9","5"
"DE_Classic_00162","DE","EUR","Classic","21.7","38.0","48.6","63.0","1.12","2","8","5"
"DE_Classic_00163","DE","EUR","Classic","19.1","32.1","42.0","53.9","1.181","4","8","5"
"DE_Classic_00164","DE","EUR","Classic","25.4","36.6","46.5","64.7","1.035","2","10","6"
"DE_Classic_00165","DE","EUR","Classic","25.0","38.9","50.4","61.7","1.262","2","9","5"
"DE_Classic_00166","DE","EUR","Classic","24.7","33.1","37.7","52.5","1.197","3","8","6"
"DE_Classic_00167","DE","EUR","Classic","25.3","38.0","50.7","63.1","0.0","1","9","6"
"DE_Classic_00168","DE","EUR","Classic","16.7","33.0","44.7","60.3","0.719","3","8","6"
"DE_Classic_00169","DE","EUR","Classic","28.2","38.2","50.8","68.7","1.066","4","8","6"
"DE_Classic_00170","DE","EUR","Classic","23.4","36.2","42.9","58.9","1.114","1","9","6"
"DE_Classic_00171","DE","EUR","Classic","27.7","38.8","52.1","63.1","1.048","1","8","7"
"DE_Classic_00172","DE","EUR","Classic","23.7","35.5","46.1","","1.202","2","8","6"
"DE_Classic_00173","DE","EUR","Classic","22.8","39.7","52.8","69.7","1.226","1","8","7"
"DE_Classic_00174","DE","EUR","Classic","15.0","30.7","42.7","56.0","1.463","2","8","6"
"DE_Classic_00175","DE","EUR","Classic","24.6","34.6","41.4","51.6","0.894","2","8","7"
"DE_Classic_00176","DE","EUR","Classic","22.0","36.9","47.2","63.2","0.934","4","9","7"
"DE_Classic_00177","DE","EUR","Classic","23.2","34.1","41.3","55.6","0.896","1","8","6"
"DE_Classic_00178","DE","EUR","Classic","28.4","40.3","53.5","65.5","0.886","1","8","6"
"DE_Classic_00179","DE","EUR","Classic","19.6","33.4","43.6","55.2","0.993","2","8","6"
"DE_Classic_00180","DE","EUR","Classic","24.5","36.8","48.1","61.5","1.103","5","8","6"
"DE_Classic_00181","DE","EUR","Classic","21.5","35.0","44.0","63.8","1.096","2","6","6"
"DE_Classic_00182","DE","EUR","Classic","17.8","32.2","41.2","53.5","0.878","1","8","6"
"DE_Classic_00183","DE","EUR","Classic","32.4","40.2","54.2","68.3","0.966","2","9","7"
"DE_Classic_00184","DE","EUR","Classic","23.3","35.4","","67.3","1.066","2","9","7"
"DE_Classic_00185","DE","EUR","Classic","24.2","37.1","45.6","59.6","0.889","3","8","7"
"DE_Classic_00186","DE","EUR","Classic","23.6","37.9","45.1","58.7","1.015","3","9","7"
"DE_Classic_00187","DE","EUR","Classic","24.6","40.6","51.8","67.5","1.228","1","9","3"
"DE_Classic_00188","DE","EUR","Classic","23.9","30.3","29.3","51.6","1.127","2","10","7"
"DE_Classic_00189","DE","EUR","Classic","30.6","41.9","56.5","80.0","1.037","5","7","6"
"DE_Classic_00190","DE","EUR","Classic","24.1","40.0","49.7","60.9","0.832","5","9","7"
"DE_Classic_00191","DE","EUR","Classic","18.0","33.8","48.4","66.5","0.813","1","9","6"
"DE_Classic_00192","DE","EUR","Classic","21.3","33.3","45.9","64.6","0.756","5","9","5"
"DE_Classic_00193","DE","EUR","Classic","23.6","37.1","47.7","59.6","0.0","3","9","7"
"DE_Classic_00194","DE","EUR","Classic","28.4","38.8","50.6","64.7","1.099","1","10","7"
"DE_Classic_00195","DE","EUR","Classic","24.0","35.5","47.1","63.3","1.002","1","9","6"
"DE_Classic_00196","DE","EUR","Classic","28.6","40.6","49.6","63.6","0.815","2","9","5"
"DE_Classic_00197","DE","EUR","Classic","28.8","39.7","48.7","59.0","0.779","2","7","5"
"DE_Classic_00198","DE","EUR","Classic","22.6","34.7","44.7","61.5","1.137","2","9","7"
"DE_Classic_00199","DE","EUR","Classic","30.0","42.5","54.1","71.2","0.823","1","7","6"
"DE_Classic_00200","DE","EUR","Classic","29.1","40.4","53.3","","0.931","3","8","4"
"DE_Classic_00201","DE","EUR","Classic","17.0","33.7","45.7","59.1","0.955","2","8","7"
"DE_Classic_00202","DE","EUR","Classic","25.8","38.5","46.1","57.4","0.857","2","9","6"
"DE_Classic_00203","DE","EUR","Classic","23.7","32.3","44.5","61.3","1.034","1","8","6"
"DE_Classic_00204","DE","EUR","Classic","25.0","35.1","46.8","66.9","1.101","4","8","6"
"DE_Classic_00205","DE","EUR","Classic","24.0","36.8","50.0","62.1","0.82","1","9","6"
"DE_Classic_00206","DE","EUR","Classic","21.1","35.7","43.7","56.8","0.877","2","7","7"
"DE_Classic_00207","DE","EUR","Classic","28.0","37.3","49.4","58.5","1.172","2","8","6"
"DE_Classic_00208","DE","EUR","Classic","32.5","44.8","51.9","60.0","0.997","4","8","6"
"DE_Classic_00209","DE","EUR","Classic","27.3","39.1","53.5","65.9","0.802","4","9","5"
"DE_Classic_00210","DE","EUR","Classic","24.0","36.1","46.5","60.9","0.755","4","9","6"
"DE_Classic_00211","DE","EUR","Classic","28.2","38.0","52.0","73.3","0.889","4","8","7"
"DE_Classic_00212","DE","EUR","Classic","25.1","35.4","45.0","51.6","0.914","4","7","6"
"DE_Classic_00213","DE","EUR","Classic","24.8","36.6","47.1","69.1","1.247","1","9","8"
"DE_Classic_00214","DE","EUR","Classic","25.9","36.4","49.8","63.0","1.149","2","8","6"
"DE_Classic_00215","DE","EUR","Classic","22.9","37.6","48.8","75.0","1.065","3","10","5"
"DE_Classic_00216","DE","EUR","Classic","22.0","33.7","48.5","59.2","","3","8","6"
"DE_Classic_00217","DE","EUR","Classic","32.0","43.2","51.5","69.4","0.838","4","10","7"
"DE_Classic_00218","DE","EUR","Classic","18.4","34.3","48.6","62.8","1.011","3","9","5"
"DE_Classic_00219","DE","EUR","Classic","22.9","34.9","","60.9","","3","8","6"
"DE_Classic_00220","DE","EUR","Classic","29.2","36.4","45.8","62.0","1.076","5","9","5"
"DE_Classic_00221","DE","EUR","Classic","24.2","37.6","46.4","63.5","0.814","1","8","6"
"DE_Classic_00222","DE","EUR","Classic","28.2","38.5","51.2","68.3","0.966","1","8","6"
"DE_Classic_00223","DE","EUR","Classic","24.4","39.7","48.4","68.8","0.944","4","9","7"
"DE_Classic_00224","DE","EUR","Classic","24.8","34.7","45.4","62.2","0.822","2","9","7"
"DE_Classic_00225","DE","EUR","Classic","22.3","34.2","47.4","58.0","0.905","2","8","5"
"DE_Classic_00226","DE","EUR","Classic","22.5","34.1","46.5","66.4","1.09","3","9","6"
"DE_Classic_00227","DE","EUR","Classic","23.3","34.2","38.7","52.9","0.609","4","8","6"
"DE_Classic_00228","DE","EUR","Classic","28.0","38.8","51.5","68.9","1.01","3","7","6"
"DE_Classic_00229","DE","EUR","Classic","17.3","34.4","48.7","60.0","1.313","3","8","6"
"DE_Classic_00230","DE","EUR","Classic","27.0","37.3","46.3","62.2","1.132","3","9","5"
"DE_Classic_00231","DE","EUR","Classic","20.3","37.0","47.8","62.6","0.755","1","8","7"
"DE_Classic_00232","DE","EUR","Classic","26.8","39.5","53.1","73.5","1.473","1","8","5"
"DE_Classic_00233","DE","EUR","Classic","17.9","31.4","39.3","52.1","1.052","3","8","5"
"DE_Classic_00234","DE","EUR","Classic","31.7","41.1","49.7","68.0","1.05","2","9","5"
"DE_Classic_00235","DE","EUR","Classic","31.1","39.8","55.1","74.2","0.962","1","9","8"
"DE_Classic_00236","DE","EUR","Classic","22.2","36.6","46.1","60.2","1.284","1","8","7"
"DE_Classic_00237","DE","EUR","Classic","20.9","32.6","48.0","67.8","0.917","3","9","5"
"DE_Classic_00238","DE","EUR","Classic","23.9","36.0","42.3","60.4","0.619","3","8","7"
"DE_Classic_00239","DE","EUR","Classic","22.4","34.9","48.4","62.0","1.032","3","8","5"
"DE_Classic_00240","DE","EUR","Classic","23.0","35.8","48.2","64.9","0.707","4","9","7"
"DE_Classic_00241","DE","EUR","Classic","26.5","35.6","46.9","62.5","1.048","2","9","5"
"DE_Classic_00242","DE","EUR","Classic","31.4","41.1","51.9","71.0","0.924","2","9","6"
"DE_Classic_00243","DE","EUR","Classic","21.1","36.0","40.6","60.3","1.128","4","8","7"
"DE_Classic_00244","DE","EUR","Classic","21.6","35.2","48.2","61.4","0.799","3","8","4"
"DE_Classic_00245","DE","EUR","Classic","23.3","40.3","48.2","66.2","0.561","4","8","6"
"DE_Classic_00246","DE","EUR","Classic","19.4","35.7","44.4","56.5","1.029","1","8","7"
"DE_Classic_00247","DE","EUR","Classic","24.3","37.2","50.9","62.5","1.096","3","8","5"
"DE_Classic_00248","DE","EUR","Classic","26.5","38.4","48.2","64.1","0.77","1","10","6"
"DE_Classic_00249","DE","EUR","Classic","21.6","32.5","44.8","56.4","0.811","1","8","6"
"DE_Classic_00250","DE","EUR","Classic","21.6","36.8","56.0","65.5","0.797","1","8","5"
"DE_Classic_00251","DE","EUR","Classic","30.1","41.8","52.8","71.3","1.109","2","9","7"
"DE_Classic_00252","DE","EUR","Classic","23.3","36.8","49.9","65.2","0.958","2","10","5"
"DE_Classic_00253","DE","EUR","Classic","21.4","32.5","43.7","63.7","0.861","3","7","7"
"DE_Classic_00254","DE","EUR","Classic","15.8","35.4","50.9","64.4","0.811","1","8","5"
"DE_Classic_00255","DE","EUR","Classic","24.2","38.6","37.6","65.9","1.095","1","9","5"
"DE_Classic_00256","DE","EUR","Classic","19.2","33.0","42.1","58.6","0.943","2","8","5"
"DE_Classic_00257","DE","EUR","Classic","19.2","29.0","39.1","55.2","0.949","1","10","7"
"DE_Classic_00258","DE","EUR","Classic","18.5","29.7","42.2","59.6","1.148","2","8","6"
"DE_Classic_00259","DE","EUR","Classic","22.3","34.3","50.4","67.6","1.062","2","9","6"
"DE_Classic_00260","DE","EUR","Classic","23.1","38.6","51.9","65.9","1.089","1","9","6"
"DE_Classic_00261","DE","EUR","Classic","23.5","36.0","48.6","59.0","1.01","2","10","6"
"DE_Classic_00262","DE","EUR","Classic","16.2","27.3","42.3","57.3","1.043","1","10","7"
"DE_Classic_00263","DE","EUR","Classic","25.9","41.5","52.2","71.6","1.008","3","9","7"
"DE_Classic_00264","DE","EUR","Classic","17.9","32.8","37.9","53.1","0.682","2","10","6"
"DE_Classic_00265","DE","EUR","Classic","32.9","41.4","51.1","66.8","1.235","4","10","7"
"DE_Classic_00266","DE","EUR","Classic","24.7","32.3","46.7","61.3","1.171","1","10","6"
"DE_Classic_00267","DE","EUR","Classic","21.4","89.7","41.3","61.1","1.0","3","9","7"
"DE_Classic_00268","DE","EUR","Classic","22.1","34.2","41.1","62.3","0.798","3","8","6"
"DE_Classic_00269","DE","EUR","Classic","28.5","38.4","49.3","64.5","1.181","2","8","5"
"DE_Classic_00270","DE","EUR","Classic","23.6","32.7","44.1","57.3","1.07","2","10","6"
"DE_Classic_00271","DE","EUR","Classic","26.9","39.3","52.6","67.2","1.3","3","8","6"
"DE_Classic_00272","DE","EUR","Classic","33.1","40.1","53.1","62.3","1.041","4","8","5"
"DE_Classic_00273","DE","EUR","Classic","26.0","35.5","45.7","56.1","1.175","1","10","5"
"DE_Classic_00274","DE","EUR","Classic","26.9","37.0","52.6","66.2","0.966","1","8","6"
"DE_Classic_00275","DE","EUR","Classic","28.7","38.6","46.3","45.3","1.318","4","8","6"
"DE_Classic_00276","DE","EUR","Classic","25.8","36.8","48.4","63.2","0.778","2","10","5"
"DE_Classic_00277","DE","EUR","Classic","17.7","30.9","40.2","54.8","1.059","2","9","5"
"DE_Classic_00278","DE","EUR","Classic","24.1","34.9","45.2","63.4","1.44","1","7","5"
"DE_Classic_00279","DE","EUR","Classic","24.8","39.5","49.9","71.4","0.853","3","10","4"
"DE_Classic_00280","DE","EUR","Classic","30.3","38.5","50.0","64.8","0.902","3","9","6"
"DE_Classic_00281","DE","EUR","Classic","24.5","36.7","46.9","60.9","0.867","1","9","6"
"DE_Classic_00282","DE","EUR","Classic","31.3","38.6","47.3","62.9","1.138","2","8","6"
"DE_Classic_00283","DE","EUR","Classic","27.7","36.2","43.4","62.0","0.856","5","9","7"
